Player,Nationality,Team,Position,Age,Comp Level,Games,Games Starts,Minutes,Minutes 90S,Goals_Per90,Assists_Per90,Goals Pens_Per90,Pens Made_Per90,Pens Att_Per90,Cards Yellow_Per90,Cards Red_Per90,Xg_Per90,Npxg_Per90,Passes Completed_Per90,Passes_Per90,Passes Pct_Per90,Passes Total Distance_Per90,Passes Progressive Distance_Per90,Passes Completed Short_Per90,Passes Short_Per90,Passes Pct Short_Per90,Passes Completed Medium_Per90,Passes Completed Long_Per90,Passes Long_Per90,Passes Pct Long_Per90,Assisted Shots_Per90,Passes Into Final Third_Per90,Passes Into Penalty Area_Per90,Crosses Into Penalty Area_Per90,Progressive Passes_Per90,Shots On Target_Per90,Shots On Target Pct_Per90,Goals Per Shot_Per90,Goals Per Shot On Target_Per90,Average Shot Distance_Per90,Shots Free Kicks_Per90,Npxg Per Shot_Per90,Xg Net_Per90,Npxg Net_Per90,Passes Live_Per90,Passes Dead_Per90,Passes Free Kicks_Per90,Through Balls_Per90,Passes Switches_Per90,Crosses_Per90,Corner Kicks Straight_Per90,Throw Ins_Per90,Passes Offsides_Per90,Passes Blocked_Per90,Sca_Per90,Sca Passes Live_Per90,Sca Passes Dead_Per90,Sca Dribbles_Per90,Sca Shots_Per90,Sca Fouled_Per90,Sca Defense_Per90,Gca_Per90,Gca Passes Live_Per90,Gca Passes Dead_Per90,Gca Dribbles_Per90,Gca Shots_Per90,Gca Fouled_Per90,Gca Defense_Per90,Tackles_Per90,Tackles Won_Per90,Tackles Def 3Rd_Per90,Tackles Mid 3Rd_Per90,Tackles Att 3Rd_Per90,Dribble Tackles_Per90,Dribbles Vs_Per90,Dribble Tackles Pct_Per90,Dribbled Past_Per90,Blocks_Per90,Blocked Shots_Per90,Blocked Passes_Per90,Interceptions_Per90,Tackles Interceptions_Per90,Clearances_Per90,Errors_Per90,Touches_Per90,Touches Def Pen Area_Per90,Touches Def 3Rd_Per90,Touches Mid 3Rd_Per90,Touches Att 3Rd_Per90,Touches Att Pen Area_Per90,Touches Live Ball_Per90,Dribbles Completed_Per90,Dribbles_Per90,Dribbles Completed Pct_Per90,Miscontrols_Per90,Dispossessed_Per90,Passes Received_Per90,Progressive Passes Received_Per90
Fredrik Jensen,FIN,Augsburg,"MF,FW",23.0,Bundesliga,12,2.0,418,4.6,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.07,0.07,13.7,25.43,11.7,226.3,83.91,6.09,10.0,13.24,3.7,1.96,3.04,13.98,1.3,1.09,1.96,1.09,1.74,0.22,3.63,0.0,0.0,4.5,0.0,0.01,-0.07,-0.07,24.13,1.3,0.0,0.22,0.0,3.91,0.0,0.22,0.0,1.74,2.39,1.96,0.22,0.0,0.0,0.22,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,1.09,0.87,0.22,0.65,0.22,0.87,1.52,12.41,0.65,1.09,0.22,0.87,0.43,1.52,0.87,0.0,33.48,0.43,4.78,12.83,16.52,3.26,33.48,0.43,0.87,10.87,1.3,0.22,18.7,3.91
Fredrik Midtsjø, NOR,AZ Alkmaar,MF,27.0,Eredivisie,29,28.0,2296,25.5,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.02,0.02,44.27,58.24,2.98,775.76,290.71,20.35,24.08,3.31,18.12,4.35,8.43,2.02,1.33,5.29,1.29,0.31,5.84,0.16,1.21,0.0,0.0,1.03,0.0,0.0,-0.02,-0.02,54.75,3.1,1.02,0.39,0.51,2.82,0.08,0.2,0.39,1.02,2.94,2.12,0.51,0.16,0.04,0.04,0.08,0.24,0.24,0.0,0.0,0.0,0.0,0.0,1.8,0.78,0.35,1.1,0.35,1.02,2.63,1.52,1.61,1.37,0.16,1.22,1.65,3.45,0.9,0.04,70.0,2.12,13.61,41.69,15.49,1.18,70.0,2.12,3.33,2.49,2.16,0.59,44.63,1.61
Fredrik Oppegard, NOR,PSV Eindhoven,DF,18.0,Eredivisie,1,0.0,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,500.0,310.0,35.0,10.0,10.0,500.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,10.0,10.0,5.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Fredy Montero, COL,Seattle,"FW,MF",34.0,MLS,26,12.0,1284,14.3,0.28,0.07,0.21,0.07,0.07,0.14,0.0,0.42,0.36,22.8,30.28,5.27,414.62,119.72,9.51,11.82,5.63,9.51,2.87,4.27,4.7,0.84,3.22,0.77,0.28,3.29,1.05,2.5,0.0,0.01,1.33,0.14,0.01,-0.14,-0.15,28.25,1.82,0.21,0.35,0.56,1.68,0.0,0.35,0.21,0.56,3.29,2.03,0.07,0.35,0.28,0.56,0.0,0.49,0.28,0.0,0.0,0.07,0.14,0.0,1.68,1.26,0.35,0.98,0.35,0.42,0.91,3.23,0.49,0.42,0.07,0.35,0.42,2.1,0.35,0.0,42.1,0.56,3.36,22.31,16.57,4.48,42.03,1.05,2.1,3.5,2.52,2.24,32.52,5.73
Freek Heerkens, NED,Willem II,"DF,MF",31.0,Eredivisie,19,18.0,1600,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,32.47,42.7,4.28,675.51,251.01,9.33,11.12,4.71,18.88,4.04,8.2,2.77,0.06,2.64,0.11,0.0,2.19,0.17,1.4,0.0,0.0,0.54,0.0,0.01,-0.09,-0.09,40.62,1.91,1.85,0.0,0.45,0.0,0.0,0.06,0.17,0.45,0.73,0.51,0.11,0.0,0.11,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,1.24,0.62,0.45,0.67,0.11,0.67,0.9,4.21,0.22,1.4,1.07,0.34,1.12,2.36,4.04,0.06,52.47,6.52,24.33,26.35,2.25,0.84,52.47,0.22,0.34,3.75,0.28,0.11,27.25,0.22
Frenkie de Jong,NED,Barcelona,MF,24.0,La Liga,32,30.0,2476,27.5,0.11,0.11,0.11,0.0,0.0,0.25,0.04,0.15,0.15,54.69,61.09,3.25,851.89,211.31,28.98,31.13,3.39,18.87,4.07,5.05,2.93,1.56,6.18,1.31,0.11,5.05,0.25,1.5,0.01,0.02,0.52,0.0,0.01,-0.04,-0.04,59.75,1.09,0.69,0.33,0.44,1.13,0.0,0.15,0.25,0.73,3.02,2.58,0.07,0.25,0.07,0.04,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,1.27,0.69,0.44,0.65,0.18,0.44,0.84,1.9,0.4,0.69,0.18,0.51,0.73,2.0,0.58,0.0,68.04,1.31,9.45,41.27,18.11,2.29,68.04,1.85,2.18,3.09,1.35,1.02,53.75,3.93
Friday Etim, NGA,Vizela,"FW,MF",19.0,Primeira Liga,2,0.0,21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,166.5,40.0,0.0,5.0,5.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,35.0,0.0,0.0,10.0,25.0,10.0,35.0,0.0,5.0,0.0,5.0,0.0,20.0,10.0
Fábio, BRA,Atlético Mineiro,"FW,MF",24.0,Brasileiro Serie A,70,60.0,1804,58.0,0.0,0.11,0.0,0.0,0.0,0.48,0.05,0.060000000000000005,0.060000000000000005,53.94,70.95,7.8100000000000005,945.75,498.16,23.259999999999998,26.9,8.76,21.43,6.24,13.25,3.62,0.62,2.2600000000000002,0.54,0.27,2.03,0.08,1.33,0.0,0.0,1.28,0.0,0.0,-0.060000000000000005,-0.060000000000000005,51.08,19.57,2.54,0.05,0.27,1.89,0.0,9.84,0.30000000000000004,0.76,1.61,1.11,0.16,0.16,0.08,0.05,0.05,0.27,0.22,0.0,0.0,0.0,0.05,0.0,3.38,2.21,1.73,1.27,0.38,1.98,4.1,3.9,2.13,1.57,0.38,1.19,1.89,5.2700000000000005,2.03,0.08,84.69,26.189999999999998,43.370000000000005,27.380000000000003,14.51,1.15,84.69,0.84,1.4000000000000001,5.05,1.23,0.54,35.7,2.7700000000000005
Fábio Cardoso, POR,Porto,DF,27.0,Primeira Liga,14,11.0,1076,12.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.03,0.03,54.0,59.08,7.62,1073.33,348.67,17.25,18.25,7.88,29.0,6.75,8.08,6.96,0.17,2.67,0.08,0.0,1.92,0.0,0.0,0.0,0.0,1.03,0.0,0.01,-0.03,-0.03,57.92,1.0,0.92,0.0,0.08,0.0,0.0,0.0,0.17,0.0,0.67,0.5,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.33,0.33,0.0,0.58,0.83,5.83,0.25,0.92,0.75,0.17,0.83,1.5,2.83,0.0,65.75,5.0,31.5,32.0,2.33,1.0,65.75,0.17,0.25,5.56,0.08,0.08,50.75,0.25
Fábio China, POR,Marítimo,DF,29.0,Primeira Liga,10,6.0,574,6.4,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.02,0.02,43.59,57.03,11.94,795.94,272.81,17.34,20.62,13.14,21.56,4.38,9.69,7.06,0.0,2.66,0.16,0.16,2.81,0.16,7.81,0.0,0.0,3.33,0.0,0.01,-0.02,-0.02,44.22,12.66,2.19,0.16,0.78,2.66,0.0,10.47,0.16,1.25,0.31,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.94,0.78,0.94,0.16,0.78,1.25,9.77,0.47,0.94,0.16,0.78,1.41,3.28,3.44,0.16,69.06,3.59,27.66,32.81,10.31,0.31,69.06,1.72,3.12,8.59,2.5,1.88,38.91,1.41
Fábio Martins, POR,Braga,"MF,FW",28.0,Primeira Liga,6,6.0,410,4.6,0.22,0.0,0.22,0.0,0.0,0.22,0.0,0.3,0.3,27.83,36.96,16.37,451.74,100.87,13.7,15.65,19.02,10.43,2.39,4.13,12.59,1.74,1.09,1.3,0.43,1.96,0.65,6.52,0.02,0.07,4.57,0.22,0.03,-0.09,-0.09,31.52,5.0,1.3,0.22,0.43,4.35,0.43,1.3,0.43,0.65,4.13,2.83,0.43,0.43,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.65,0.43,0.87,0.0,0.22,1.52,3.11,1.3,0.87,0.0,0.87,0.43,1.74,1.09,0.0,46.74,0.87,7.39,18.26,21.52,2.17,46.74,0.87,1.74,10.87,1.09,1.52,32.61,4.35
Fábio Pacheco, POR,Moreirense,MF,33.0,Primeira Liga,28,25.0,1855,20.6,0.0,0.0,0.0,0.0,0.0,0.53,0.1,0.02,0.02,22.04,29.56,3.62,355.68,108.16,10.63,13.54,3.81,8.79,1.6,2.72,2.86,0.39,2.18,0.19,0.0,2.28,0.15,1.82,0.0,0.0,1.3,0.0,0.0,-0.02,-0.02,28.79,0.68,0.63,0.15,0.15,0.05,0.0,0.0,0.1,0.44,0.92,0.68,0.0,0.0,0.05,0.05,0.15,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2.96,1.46,1.26,1.46,0.24,1.26,3.2,1.91,1.94,1.6,0.44,1.17,1.65,4.61,2.04,0.05,39.85,2.67,10.44,24.71,4.9,0.34,39.85,0.1,0.1,4.85,0.58,0.39,17.43,0.29
Fábio Santos, BRA,Corinthians,DF,36.0,Brasileiro Serie A,22,17.0,1567,17.4,0.17,0.0,0.06,0.11,0.11,0.23,0.0,0.11,0.02,63.79,74.83,4.9,949.31,355.34,36.09,38.39,5.4,23.28,2.53,5.57,2.61,0.46,4.83,0.52,0.23,3.97,0.17,2.47,0.01,0.02,0.92,0.0,0.0,0.06,0.03,64.08,10.75,2.07,0.06,0.23,1.9,0.0,8.68,0.0,1.38,1.03,0.98,0.06,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.21,0.86,0.52,0.57,0.11,0.92,1.84,2.87,0.92,1.03,0.29,0.75,1.09,2.3,2.76,0.0,82.24,3.22,24.43,43.68,14.71,0.92,82.13,0.23,0.4,3.28,0.63,0.29,54.25,1.72
Fábio Silva,POR,Wolves,FW,19.0,Premier League,22,6.0,572,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,14.53,21.56,10.53,174.53,41.25,10.0,13.12,11.91,2.81,0.31,0.62,7.81,0.47,0.78,0.94,0.0,1.72,0.78,4.11,0.0,0.0,2.14,0.0,0.02,-0.33,-0.33,19.53,2.03,0.0,0.16,0.0,0.31,0.0,0.0,0.0,0.94,2.5,1.41,0.0,0.62,0.47,0.0,0.0,0.31,0.16,0.0,0.0,0.16,0.0,0.0,0.47,0.31,0.0,0.31,0.16,0.0,1.25,0.0,1.25,0.31,0.0,0.31,0.16,0.62,0.16,0.0,30.94,0.16,1.72,14.53,15.47,6.09,30.94,1.09,2.97,5.75,2.81,2.19,22.03,5.78
Félix Lemaréchal,CIV,Monaco,MF,17.0,Ligue 1,1,0.0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,750.0,1670.0,140.0,60.0,90.0,667.0,50.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,140.0,20.0,0.0,160.0,20.0,20.0,1000.0,0.0,0.0,130.0,0.0
Félix Torres Caicedo, ECU,Santos,DF,24.0,Liga MX,31,30.0,2685,29.8,0.1,0.0,0.1,0.0,0.0,0.23,0.03,0.05,0.05,25.07,37.08,2.27,562.32,290.2,6.71,8.72,2.58,12.75,5.27,10.87,1.63,0.27,2.08,0.1,0.0,2.55,0.13,0.71,0.01,0.03,0.42,0.0,0.0,0.05,0.05,34.83,2.11,1.95,0.03,0.77,0.0,0.0,0.17,0.13,0.23,0.7,0.54,0.13,0.0,0.03,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.91,0.47,0.57,0.27,0.07,0.44,0.84,1.74,0.4,1.01,0.6,0.4,2.08,2.99,4.7,0.03,47.79,6.11,24.63,22.32,1.44,1.14,47.79,0.13,0.27,1.68,0.6,0.13,20.34,0.1
Gabi Caschili, NED,Zwolle,MF,18.0,Eredivisie,1,0.0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,110.0,455.0,920.0,410.0,20.0,60.0,333.0,20.0,10.0,10.0,1000.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,20.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,20.0,50.0,40.0,0.0,110.0,0.0,0.0,0.0,20.0,0.0,50.0,0.0
Gabriel, BRA,São Paulo,MF,22.0,Brasileiro Serie A,54,45.0,45,45.6,0.04,0.0,0.04,0.0,0.0,0.15,0.0,0.03,0.03,41.78,49.45,7.29,779.8,307.54,18.33,20.29,8.31,17.13,5.35,8.53,4.31,0.46,3.71,0.46,0.11,3.25,0.13,0.89,0.0,0.01,1.12,0.09,0.0,0.01,0.01,44.43,4.91,2.43,0.04,0.37,0.44,0.0,0.13,0.11,0.7,1.45,1.21,0.09,0.0,0.07,0.04,0.04,0.02,0.02,0.0,0.0,0.0,0.0,0.0,2.37,1.47,0.83,1.34,0.2,0.99,2.02,2.31,1.03,1.05,0.24,0.81,1.34,3.71,1.43,0.0,57.92,9.19,18.66,32.13,7.57,0.42,57.92,0.26,0.64,1.85,0.59,0.46,35.59,0.7
Gabriel Baralhas, BRA,Atl Goianiense,MF,23.0,Brasileiro Serie A,30,26.0,2161,24.0,0.17,0.08,0.17,0.0,0.0,0.5,0.0,0.14,0.14,42.29,47.88,3.68,781.88,215.08,17.96,19.71,3.8,18.46,5.08,6.21,3.41,0.71,4.5,0.46,0.04,3.96,0.67,1.42,0.0,0.01,0.88,0.0,0.0,0.02,0.02,46.25,1.54,1.25,0.0,0.75,0.29,0.0,0.29,0.08,0.67,2.42,1.96,0.0,0.17,0.08,0.12,0.08,0.21,0.17,0.0,0.0,0.0,0.04,0.0,2.17,1.54,1.08,0.88,0.21,0.79,2.46,1.34,1.67,1.25,0.42,0.83,1.46,3.62,1.21,0.0,58.62,1.83,14.88,35.04,9.42,1.29,58.62,0.75,1.21,2.59,1.04,0.42,39.92,1.08
Gabriel Barbosa, BRA,Flamengo,FW,25.0,Brasileiro Serie A,29,22.0,2047,22.7,0.48,0.04,0.44,0.04,0.13,0.48,0.04,0.49,0.38,25.81,31.76,3.58,416.17,96.96,13.17,14.85,3.91,9.87,1.94,3.17,2.69,1.32,2.2,2.16,0.26,3.44,1.01,1.41,0.01,0.02,0.71,0.0,0.01,0.0,0.06,28.41,3.22,0.13,0.31,0.18,1.5,0.04,0.22,0.13,0.79,3.0,2.33,0.13,0.09,0.26,0.18,0.0,0.26,0.18,0.0,0.04,0.04,0.0,0.0,0.44,0.22,0.09,0.22,0.13,0.22,0.79,1.22,0.57,0.0,0.0,0.0,0.09,0.53,0.09,0.0,38.06,0.09,0.88,14.05,23.26,4.93,37.93,0.62,1.19,2.29,1.41,0.84,31.19,6.39
Gabriel Boschilia, BRA,Internacional,"MF,FW",25.0,Brasileiro Serie A,12,7.0,56,5.9,0.0,0.17,0.0,0.0,0.0,0.51,0.0,0.07,0.07,30.51,39.49,26.78,446.95,135.76,18.64,21.02,29.56,9.15,1.86,4.07,16.95,1.69,4.58,0.68,0.17,2.54,0.51,4.63,0.0,0.0,9.78,0.34,0.01,-0.07,-0.07,35.08,4.41,2.2,0.17,0.0,2.03,0.0,0.68,0.0,2.03,3.05,2.37,0.34,0.0,0.34,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,1.19,0.68,0.51,0.34,0.34,0.51,2.54,4.63,2.03,0.68,0.34,0.34,1.02,2.2,0.51,0.0,48.64,1.02,6.27,25.93,17.29,0.85,48.64,0.51,1.36,21.8,2.37,1.86,33.05,2.54
Gabriel Carabajal, ARG,Santos,"MF,FW",30.0,Brasileiro Serie A,8,7.0,498,5.5,0.18,0.0,0.18,0.0,0.0,0.36,0.0,0.05,0.05,31.09,41.64,13.58,544.91,143.64,14.0,16.0,15.91,11.45,3.64,7.64,8.65,1.27,3.27,0.0,0.0,2.36,0.55,6.05,0.02,0.06,4.18,0.18,0.01,0.13,0.13,35.82,5.64,1.82,0.0,0.73,4.73,0.0,0.91,0.18,0.55,2.73,1.27,1.27,0.0,0.18,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.91,0.73,0.55,0.36,0.0,0.18,1.45,2.27,1.27,1.45,0.18,1.27,0.55,1.45,0.91,0.0,50.91,0.91,8.0,28.18,15.09,1.09,50.91,0.18,0.91,3.64,2.18,0.73,35.09,3.09
Gabriel Dos Santos,BRA,Arsenal,DF,23.0,Premier League,35,35.0,3063,34.0,0.15,0.0,0.15,0.0,0.0,0.24,0.03,0.1,0.1,53.76,60.26,2.62,1023.94,340.24,17.71,18.65,2.79,31.44,4.24,7.29,1.71,0.26,3.71,0.06,0.0,2.5,0.35,1.22,0.0,0.01,0.33,0.0,0.0,0.05,0.05,57.88,2.21,1.15,0.09,0.53,0.03,0.0,0.12,0.18,0.32,0.65,0.56,0.0,0.0,0.06,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.47,0.88,1.06,0.35,0.06,0.88,1.21,2.15,0.32,1.0,0.76,0.24,0.38,1.85,3.29,0.12,68.76,9.24,33.76,32.5,2.88,1.35,68.76,0.12,0.12,2.94,0.53,0.15,49.94,0.26
Gabriel Fernández, URU,FC Juárez,FW,27.0,Liga MX,15,13.0,1133,12.6,0.32,0.08,0.16,0.16,0.16,0.16,0.0,0.23,0.1,12.22,19.37,5.01,191.43,37.46,6.19,8.57,5.73,4.05,1.03,1.59,5.16,0.71,1.27,0.24,0.08,0.95,0.56,3.48,0.01,0.02,1.46,0.24,0.01,0.09,0.06,17.3,2.06,0.0,0.16,0.4,0.56,0.0,0.0,0.0,0.71,1.75,1.03,0.0,0.24,0.24,0.24,0.0,0.4,0.08,0.0,0.08,0.08,0.16,0.0,0.4,0.16,0.08,0.24,0.08,0.24,0.48,3.97,0.24,0.32,0.0,0.32,0.08,0.48,1.11,0.0,30.63,1.43,1.83,17.62,11.83,3.33,30.48,1.75,3.25,4.26,4.05,0.87,21.59,3.41
Gabriel Gudmundsson, SWE,Groningen,DF,22.0,Eredivisie,33,18.0,1583,17.6,0.07,0.0,0.07,0.0,0.0,0.2,0.0,0.27,0.27,61.03,93.07,26.82,1062.28,321.83,28.86,34.0,35.74,23.39,7.67,20.009999999999998,16.64,1.85,3.16,1.5100000000000002,1.3800000000000001,3.86,0.77,9.530000000000001,0.0,0.01,9.1,0.0,0.03,-0.2,-0.2,72.22,20.509999999999998,1.6500000000000001,0.0,0.07,10.46,0.0,18.86,0.34,4.13,4.03,2.76,0.07,0.27,0.5,0.44,0.0,0.44,0.07,0.0,0.0,0.37,0.0,0.0,7.699999999999999,5.78,4.2,2.55,0.94,3.7299999999999995,5.3100000000000005,35.669999999999995,1.58,2.8600000000000003,0.5700000000000001,2.29,1.71,9.420000000000002,2.35,0.0,121.21,2.69,35.77,53.620000000000005,33.28,3.8,121.21,4.07,7.49,23.62,3.4299999999999997,2.08,62.61,6.15
Gabriel Jesus,BRA,Manchester City,FW,24.0,Premier League,28,21.0,1877,20.9,0.38,0.38,0.33,0.05,0.05,0.05,0.0,0.52,0.48,30.48,36.84,3.96,404.83,67.42,19.04,21.87,4.17,8.37,1.0,1.48,3.24,1.82,0.72,1.44,0.19,2.15,0.96,1.52,0.01,0.02,0.66,0.0,0.01,-0.13,-0.14,35.84,0.96,0.05,0.19,0.24,1.15,0.0,0.29,0.05,0.91,4.07,2.68,0.0,0.77,0.33,0.19,0.1,0.86,0.53,0.0,0.1,0.05,0.1,0.1,0.86,0.57,0.1,0.19,0.57,0.29,1.24,1.11,0.96,0.86,0.0,0.86,0.72,1.58,0.38,0.0,48.9,0.57,3.92,14.98,30.38,7.89,48.85,2.2,3.4,3.1,3.16,1.29,37.85,7.08
Gabriel Kazu, BRA,Avaí,MF,22.0,Brasileiro Serie A,1,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Lacerda, BRA,Ceará,DF,22.0,Brasileiro Serie A,25,18.0,1798,20.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.04,0.04,33.45,42.1,3.98,681.9,249.75,10.4,12.05,4.31,18.05,4.5,8.3,2.71,0.05,2.2,0.05,0.05,1.7,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.04,-0.04,39.45,2.4,2.25,0.0,0.35,0.3,0.0,0.1,0.25,0.55,0.55,0.5,0.05,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.05,0.7,0.9,0.15,0.0,0.4,0.9,2.22,0.5,1.1,0.8,0.3,1.05,2.1,4.3,0.0,51.95,8.1,26.1,24.5,1.85,0.9,51.95,0.2,0.3,3.34,0.5,0.2,30.15,0.1
Gabriel Menino, BRA,Palmeiras,MF,21.0,Brasileiro Serie A,27,6.0,918,10.2,0.2,0.1,0.2,0.0,0.0,0.29,0.1,0.12,0.12,50.59,62.16,7.98,1022.35,283.63,18.33,20.59,8.73,22.65,8.63,13.24,6.39,1.76,7.94,1.08,0.49,5.39,0.69,2.75,0.01,0.03,2.43,0.39,0.0,0.08,0.08,57.55,4.31,2.25,0.1,1.27,3.82,0.0,0.29,0.29,0.98,5.49,4.22,0.59,0.0,0.2,0.49,0.0,0.49,0.39,0.1,0.0,0.0,0.0,0.0,2.06,1.57,1.08,0.88,0.1,0.98,1.57,6.13,0.59,0.69,0.1,0.59,1.18,3.24,1.18,0.0,74.71,2.35,12.06,43.73,19.8,1.18,74.71,0.78,1.86,4.13,1.67,0.98,53.33,2.84
Gabriel Mercado, ARG,Internacional,DF,34.0,Brasileiro Serie A,26,23.0,2128,23.6,0.0,0.0,0.0,0.0,0.0,0.38,0.04,0.02,0.02,39.11,43.6,3.8,721.69,257.88,14.49,15.42,3.98,20.47,3.52,4.83,3.08,0.17,1.61,0.0,0.0,1.23,0.17,2.12,0.0,0.0,0.67,0.0,0.0,-0.02,-0.02,41.61,1.91,1.69,0.0,0.13,0.17,0.0,0.17,0.08,0.3,0.68,0.55,0.0,0.0,0.0,0.08,0.04,0.08,0.04,0.0,0.0,0.0,0.04,0.0,1.27,0.89,1.1,0.17,0.0,0.89,1.27,2.97,0.38,1.19,0.76,0.42,1.27,2.54,3.35,0.0,51.95,7.63,25.34,25.3,1.57,0.55,51.95,0.0,0.25,0.0,0.21,0.0,34.41,0.08
Gabriel Neris, BRA,Juventude,MF,20.0,Brasileiro Serie A,7,2.0,213,2.4,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.12,0.12,23.75,28.75,34.42,428.33,92.08,8.75,10.0,36.46,11.25,1.67,2.08,33.33,0.42,2.08,0.42,0.42,1.67,0.83,20.83,0.0,0.0,12.29,0.0,0.03,-0.12,-0.12,27.08,1.67,1.25,0.0,0.42,0.83,0.0,0.0,0.0,0.83,2.08,1.25,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.42,0.0,1.25,0.42,0.42,1.67,10.42,1.25,2.08,1.25,0.83,1.67,3.33,0.42,0.0,42.08,2.08,6.25,30.0,6.25,0.42,42.08,1.25,3.33,15.62,0.83,1.25,28.33,2.92
